#﻿"d.primaryDomainId + ""-"" + dr.primaryDomainId"
mondo.0000004-drugbank.DB01708
mondo.0000004-drugbank.DB01234
mondo.0000004-drugbank.DB14539
mondo.0000004-drugbank.DB01380
mondo.0000004-drugbank.DB00860
mondo.0000004-drugbank.DB01284
mondo.0000004-drugbank.DB00443
mondo.0000004-drugbank.DB00635
mondo.0000004-drugbank.DB00620
mondo.0000004-drugbank.DB14545
mondo.0000004-drugbank.DB00959
mondo.0000004-drugbank.DB00741
mondo.0000022-drugbank.DB00458
mondo.0000022-drugbank.DB01151
mondo.0000022-drugbank.DB00035
mondo.0000022-drugbank.DB00695
mondo.0000088-drugbank.DB00675
mondo.0000088-drugbank.DB01026
mondo.0000088-drugbank.DB04839
mondo.0000088-drugbank.DB06788
mondo.0000088-drugbank.DB00666
mondo.0000088-drugbank.DB00007
mondo.0000104-drugbank.DB00653
mondo.0000190-drugbank.DB01392
mondo.0000190-drugbank.DB00661
mondo.0000190-drugbank.DB00755
mondo.0000190-drugbank.DB00571
mondo.0000190-drugbank.DB00312
mondo.0000190-drugbank.DB00679
mondo.0000190-drugbank.DB01035
mondo.0000190-drugbank.DB04825
mondo.0000190-drugbank.DB00489
mondo.0000190-drugbank.DB01203
mondo.0000190-drugbank.DB01580
mondo.0000190-drugbank.DB00457
mondo.0000190-drugbank.DB00653
mondo.0000190-drugbank.DB14513
mondo.0000190-drugbank.DB01388
mondo.0000190-drugbank.DB00379
mondo.0000190-drugbank.DB09224
mondo.0000190-drugbank.DB00368
mondo.0000190-drugbank.DB00435
mondo.0000190-drugbank.DB00981
mondo.0000190-drugbank.DB00252
mondo.0000190-drugbank.DB00397
mondo.0000190-drugbank.DB00388
mondo.0000190-drugbank.DB00281
mondo.0000190-drugbank.DB01115
mondo.0000190-drugbank.DB12551
mondo.0000190-drugbank.DB04841
mondo.0000190-drugbank.DB01195
mondo.0000190-drugbank.DB03147
mondo.0000190-drugbank.DB01064
mondo.0000190-drugbank.DB00977
mondo.0000190-drugbank.DB00783
mondo.0000190-drugbank.DB00280
mondo.0000190-drugbank.DB00343
mondo.0000190-drugbank.DB00908
mondo.0000190-drugbank.DB13071
mondo.0000190-drugbank.DB11321
mondo.0000190-drugbank.DB01244
mondo.0000190-drugbank.DB01136
mondo.0000190-drugbank.DB00521
mondo.0000190-drugbank.DB01426
mondo.0000190-drugbank.DB00335
mondo.0000190-drugbank.DB01164
mondo.0000190-drugbank.DB00568
mondo.0000190-drugbank.DB01193
mondo.0000190-drugbank.DB01429
mondo.0000190-drugbank.DB11785
mondo.0000190-drugbank.DB01118
mondo.0000190-drugbank.DB01158
mondo.0000190-drugbank.DB00217
mondo.0000190-drugbank.DB01114
mondo.0000190-drugbank.DB13182
mondo.0000241-drugbank.DB11135
mondo.0000242-drugbank.DB00525
mondo.0000242-drugbank.DB00400
mondo.0000253-drugbank.DB01026
mondo.0000253-drugbank.DB01127
mondo.0000254-drugbank.DB13671
mondo.0000257-drugbank.DB08626
mondo.0000257-drugbank.DB11696
mondo.0000262-drugbank.DB00857
mondo.0000262-drugbank.DB00196
mondo.0000262-drugbank.DB01026
mondo.0000262-drugbank.DB01167
mondo.0000262-drugbank.DB00681
mondo.0000265-drugbank.DB00684
mondo.0000265-drugbank.DB04570
mondo.0000265-drugbank.DB08806
mondo.0000265-drugbank.DB00955
mondo.0000265-drugbank.DB00196
mondo.0000265-drugbank.DB01603
mondo.0000265-drugbank.DB01413
mondo.0000265-drugbank.DB01607
mondo.0000265-drugbank.DB00948
mondo.0000265-drugbank.DB01190
mondo.0000265-drugbank.DB01053
mondo.0000265-drugbank.DB01061
mondo.0000265-drugbank.DB06742
mondo.0000266-drugbank.DB01167
mondo.0000266-drugbank.DB00681
mondo.0000313-drugbank.DB00136
mondo.0000313-drugbank.DB09449
mondo.0000313-drugbank.DB00146
mondo.0000313-drugbank.DB01070
mondo.0000313-drugbank.DB09561
mondo.0000328-drugbank.DB00282
mondo.0000328-drugbank.DB06724
mondo.0000328-drugbank.DB09146
mondo.0000328-drugbank.DB14695
mondo.0000328-drugbank.DB14520
mondo.0000328-drugbank.DB11634
mondo.0000328-drugbank.DB06723
mondo.0000330-drugbank.DB00860
mondo.0000330-drugbank.DB00207
mondo.0000367-drugbank.DB01058
mondo.0000367-drugbank.DB00643
mondo.0000402-drugbank.DB00309
mondo.0000402-drugbank.DB01181
mondo.0000402-drugbank.DB00773
mondo.0000402-drugbank.DB00531
mondo.0000402-drugbank.DB00515
mondo.0000402-drugbank.DB01169
mondo.0000430-drugbank.DB01204
mondo.0000430-drugbank.DB01234
mondo.0000430-drugbank.DB12498
mondo.0000430-drugbank.DB06334
mondo.0000430-drugbank.DB06176
mondo.0000430-drugbank.DB06813
mondo.0000430-drugbank.DB05015
mondo.0000430-drugbank.DB06185
mondo.0000437-drugbank.DB00571
mondo.0000437-drugbank.DB00158
mondo.0000437-drugbank.DB00181
mondo.0000437-drugbank.DB01068
mondo.0000437-drugbank.DB00819
mondo.0000437-drugbank.DB00490
mondo.0000437-drugbank.DB00915
mondo.0000448-drugbank.DB00925
mondo.0000448-drugbank.DB01169
mondo.0000451-drugbank.DB11988
mondo.0000461-drugbank.DB00121
mondo.0000465-drugbank.DB00571
mondo.0000465-drugbank.DB00867
mondo.0000465-drugbank.DB00816
mondo.0000465-drugbank.DB00668
mondo.0000465-drugbank.DB00908
mondo.0000465-drugbank.DB00572
mondo.0000465-drugbank.DB11126
mondo.0000465-drugbank.DB01223
mondo.0000465-drugbank.DB01064
mondo.0000465-drugbank.DB13279
mondo.0000476-drugbank.DB04844
mondo.0000485-drugbank.DB00320
mondo.0000485-drugbank.DB00245
mondo.0000495-drugbank.DB00566
mondo.0000495-drugbank.DB00571
mondo.0000495-drugbank.DB01230
mondo.0000495-drugbank.DB00734
mondo.0000495-drugbank.DB01356
mondo.0000495-drugbank.DB00422
mondo.0000536-drugbank.DB00002
mondo.0000594-drugbank.DB00273
mondo.0000594-drugbank.DB00734
mondo.0000594-drugbank.DB00422
mondo.0000594-drugbank.DB00215
mondo.0000596-drugbank.DB00603
mondo.0000596-drugbank.DB04839
mondo.0000596-drugbank.DB00363
mondo.0000598-drugbank.DB14509
mondo.0000598-drugbank.DB09241
mondo.0000598-drugbank.DB00563
mondo.0000607-drugbank.DB00806
mondo.0000607-drugbank.DB00553
mondo.0000607-drugbank.DB00563
mondo.0000607-drugbank.DB00242
mondo.0000607-drugbank.DB01169
mondo.0000618-drugbank.DB09073
mondo.0000690-drugbank.DB00215
mondo.0000694-drugbank.DB01156
mondo.0000694-drugbank.DB01065
mondo.0000705-drugbank.DB00512
mondo.0000705-drugbank.DB00916
mondo.0000728-drugbank.DB00715
mondo.0000728-drugbank.DB00934
mondo.0000728-drugbank.DB04821
mondo.0000728-drugbank.DB01400
mondo.0000728-drugbank.DB00458
mondo.0000728-drugbank.DB01364
mondo.0000728-drugbank.DB01151
mondo.0000728-drugbank.DB00321
mondo.0000728-drugbank.DB01010
mondo.0000744-drugbank.DB01331
mondo.0000744-drugbank.DB01053
mondo.0000744-drugbank.DB01607
mondo.0000745-drugbank.DB00661
mondo.0000745-drugbank.DB00277
mondo.0000745-drugbank.DB00818
mondo.0000745-drugbank.DB12286
mondo.0000745-drugbank.DB00653
mondo.0000745-drugbank.DB00368
mondo.0000745-drugbank.DB00727
mondo.0000745-drugbank.DB00388
mondo.0000745-drugbank.DB00622
mondo.0000745-drugbank.DB00281
mondo.0000745-drugbank.DB00741
mondo.0000745-drugbank.DB00668
