sourceDomainId,targetDomainId,created,dataSources,type,updated
meddra.10077083,hpo.0040187,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10058185,hpo.0031676,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10043778,hpo.0100646,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10030942,hpo.0100653,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10022687,hpo.0005214,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10036079,hpo.0001561,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10001480,hpo.0041051,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10014561,hpo.0002097,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10040736,hpo.0012723,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10040752,hpo.0011703,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10018146,hpo.0031188,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10039722,hpo.0002650,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10046950,hpo.0030683,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10013661,hpo.0410323,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10067954,hpo.0012048,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10020971,hpo.0001931,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10013936,hpo.0001310,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10058084,hpo.0000826,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10025310,hpo.0002665,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10023126,hpo.0000952,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10026861,hpo.0000298,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10037383,hpo.0002206,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10058475,hpo.0025324,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10006272,hpo.0032408,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10028521,hpo.0011499,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10068106,hpo.0012318,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10058006,hpo.0001489,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10006101,hpo.0046507,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10015533,hpo.0031844,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10000170,hpo.0031826,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10020508,hpo.0000238,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10031250,hpo.0002749,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10002153,hpo.0012390,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10024648,hpo.0033505,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10001557,hpo.0001022,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10001680,hpo.0001948,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10033645,hpo.0001733,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10008323,hpo.0030160,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10039119,hpo.0002748,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10019518,hpo.0011854,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10040627,hpo.0031281,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10009871,hpo.0033850,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10053198,hpo.0031218,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10041892,hpo.0012250,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10008297,hpo.0030159,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10041660,hpo.0001744,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10024855,hpo.0007185,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10019418,hpo.0002248,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10003210,hpo.0002634,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10035624,hpo.0002102,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10036978,hpo.0000024,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10036142,hpo.0000103,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10023509,hpo.0002808,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10020870,hpo.0002155,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10021198,hpo.0008064,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10018706,hpo.0100647,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10020910,hpo.0002883,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10002553,hpo.0001785,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10014127,hpo.0010529,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10037377,hpo.0002204,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10027199,hpo.0001287,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10047439,hpo.0033993,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10050205,hpo.0012669,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10036522,hpo.0032141,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10011039,hpo.0100583,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10066371,hpo.0032510,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10013142,hpo.0000734,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10005872,hpo.0025085,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10072760,hpo.0002326,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10038354,hpo.0000104,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10047294,hpo.0011841,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10002904,hpo.0001659,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10043751,hpo.0025388,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10015145,hpo.0001055,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10051228,hpo.0010310,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10006143,hpo.0010796,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10040902,hpo.0200036,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10003553,hpo.0002099,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10063956,hpo.0100695,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10002918,hpo.0001650,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10028780,hpo.0033361,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10064950,hpo.0002599,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10021926,hpo.0000789,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10020712,hpo.0002905,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10038701,hpo.0002093,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
meddra.10043688,hpo.0000854,2023-04-02T22:25:51.541000,['bioontology.org'],SideEffectSameAsPhenotype,2023-04-02T22:25:51.541000
