sourceDomainId,targetDomainId,created,dataSources,type,updated
uniprot.P04217,entrez.1,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.Q9NQ94,entrez.29974,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.Q5TYW2,entrez.84210,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.P08697,entrez.5345,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.P02750,entrez.116844,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.P01023,entrez.2,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.A8K2U0,entrez.144568,2023-04-02T23:15:53.822000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.822000
uniprot.U3KPV4,entrez.127550,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.Q9NPC4,entrez.53947,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.Q9UNA3,entrez.51146,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.P05067,entrez.351,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.Q96GX2,entrez.552889,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.P30542,entrez.134,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.P29274,entrez.135,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.P29275,entrez.136,2023-04-02T23:15:53.823000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.823000
uniprot.P0DMS8,entrez.140,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9NS82,entrez.56301,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.P22760,entrez.13,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9NRG9,entrez.8086,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q15758,entrez.6510,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q86V21,entrez.65985,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.P01011,entrez.12,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q8N5Z0,entrez.51166,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q6PD74,entrez.79719,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q2M2I8,entrez.22848,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9Y478,entrez.5564,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.O43741,entrez.5565,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.P54619,entrez.5571,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9UGJ0,entrez.51422,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9UGI9,entrez.53632,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q9H7C9,entrez.28971,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q13685,entrez.14,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.Q13131,entrez.5562,2023-04-02T23:15:53.824000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.824000
uniprot.P54646,entrez.5563,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9Y312,entrez.25980,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
